Symbol,Company,Sector,MarketCap,Payout Ratio,RevenueGrowth,OperatingMargin,BookValue,FreeCashFlow,TrailingPE,ForwardPE,EPS,ROE,ProfitMargin,DebttoEquity,revenue,gross_profits,ebitda,net_income,eps_forward,eps_growth,dividend_yield,dividend_rate,target_mean_price,target_high_price,target_low_price,Fair Value (Trailing),Fair Value (Forward),Last Open,Last Close,52W High,52W Low,MA10,MA14,MA20,MA30,MA50,MA60,MA75,MA100,MA150,MA200,MA250
CAT,Caterpillar Inc.,Industrials,2.69834E+11,0.29,0.1,0.18,44.14,6289375232,29.5,25.9,19.45,0.46,0.14,201.05,64670998528,19478999040,13957999616,9272999936,22.15,-0.04,1.05,6.04,587.67,730,380,573.73,573.73,566.61,573.73,596.21,264.29,555.61,559.36,562.43,552.12,525.44,509.28,491.49,473.24,431.97,404.66,398.23
CB,Chubb Limited,Financial Services,1.1877E+11,0.16,0.09,0.26,182.22,12573875200,12.45,12.62,23.92,0.14,0.16,30.96,58842001408,17084999680,12673000448,9674999808,23.61,0.23,1.3,3.88,307.77,340,267,297.9,297.9,297.88,297.9,305.88,250.52,296.39,294.79,290.61,285.43,283.62,282.5,281.08,278.85,281.61,282.16,280.13
CBOE,"Cboe Global Markets, Inc.",Financial Services,27010840576,0.28,0.08,0.33,46.69,987800000,27.78,28.12,9.29,0.22,0.21,32.65,4617800192,2282500096,1496999936,978200000,9.18,0.38,1.12,2.88,255.62,291,220,258.12,258.12,258.19,258.12,257.41,186.22,256.74,257.38,254.35,248.53,245.46,243.61,243.48,243.2,237.41,231.35,225.05
CBRE,"CBRE Group, Inc.",Real Estate,48272560128,0,0.14,0.05,29.12,1347250048,40.15,27.04,4.04,0.14,0.03,104.12,39324999680,7587999744,2648999936,1228000000,6,0.66,,,175.45,197,127,162.21,162.21,161.49,162.21,171,108.45,154.9,154.55,153.56,155.62,156.11,157.37,158.08,155.53,147.07,142.71,141.43
CCI,Crown Castle Inc.,Real Estate,39432626176,2.22,-0.04,0.49,-3.43,1318125056,,33.79,-9.05,-2.07,-0.72,,6419999744,4568999936,3875000064,-3929999872,2.68,0.07,4.69,4.25,115.06,127,102,,90.55,89.44,90.55,114.47,81.02,90.4,90.95,90.62,92.81,93.86,93.88,95.06,97.51,98.24,97.55,95.83
CCL,Carnival Corporation & plc,Consumer Cyclical,34480082944,0,0.03,0.28,9.09,1938625024,13.11,14.78,1.94,0.26,0.1,233.57,26229999616,14433000448,6976999936,2640999936,1.72,0.06,,,35.76,43,26,25.43,25.43,25.93,25.43,32.8,15.07,25.71,26.05,26.5,27.31,28.14,28.71,29.13,29.2,27.25,25.62,25.65
CDNS,"Cadence Design Systems, Inc.",Technology,83477307392,0,0.1,0.35,19.1,1384099840,78.75,44.72,3.89,0.22,0.2,47.69,5212625920,4459140096,1882690944,1060961984,6.85,0.21,,,382.2,418,225,306.35,306.35,307.05,306.35,376.45,221.56,306.94,311.24,317.65,323.78,334.05,336.83,339.12,338.93,327.74,310.13,309.04
CDW,CDW Corporation,Technology,18925170688,0.32,0.04,0.08,19.49,921887488,18.26,14.27,7.91,0.43,0.05,239.74,22099099648,4774300160,1955900032,1051299968,10.12,-0.06,1.75,2.52,182,225,148,144.4,144.4,143.23,144.4,220.59,136.33,141.3,141.87,144.14,147.9,151.4,153.88,155.96,160.27,165.27,165.2,168.45
CEG,Constellation Energy Corporation,Utilities,1.12182E+11,0.17,0,0.16,45.95,3059000064,41.13,40.12,8.73,0.2,0.11,61.51,24841000960,5000999936,5948000256,2739000064,8.95,-0.22,0.43,1.55,403.77,478,350,359.09,359.09,355.39,359.09,412.7,160.94,345.77,348.65,354.65,362.77,359.2,351.72,344.48,340.31,323.55,299.68,293.54
CF,"CF Industries Holdings, Inc.",Basic Materials,12700300288,0.24,0.21,0.34,30.75,1361750016,9.48,12.69,8.27,0.22,0.2,44.13,6736000000,2483000064,3033999872,1379000064,6.18,0.42,2.55,2,92.76,110,80,78.41,78.41,77.96,78.41,103.84,66.56,79.95,80.77,81.47,82.47,84.73,84.71,84.85,86.33,87.1,84.2,84.81
CFG,"Citizens Financial Group, Inc.",Financial Services,23284217856,0.47,0.14,0.32,54.97,,15.12,13.95,3.57,0.07,0.23,,7442999808,7442999808,,1566000000,3.87,0.36,3.41,1.84,61.83,75,56,53.98,53.98,54.19,53.98,54.74,31.67,51.87,51.97,51.66,51.18,51.57,51.53,51.17,50.21,46.96,45.1,44.95
CHD,"Church & Dwight Co., Inc.",Consumer Defensive,20597116928,0.37,0.05,0.16,17.59,1012412480,26.67,22.67,3.17,0.19,0.13,56.85,6141000192,2759300096,1330200064,782499968,3.73,,1.4,1.18,97,114,74,84.55,84.55,83.72,84.55,115.72,81.33,83.6,84.08,84.53,85.06,86.05,87.25,88.4,89.97,91.92,95.46,97.32
CHRW,"C.H. Robinson Worldwide, Inc.",Industrials,18847604736,0.5,-0.11,0.06,15.68,741496256,32.23,33.52,4.95,0.34,0.04,80.9,16504784896,1386718976,871163008,600065984,4.76,0.68,1.58,2.52,152.2,177,77,159.54,159.54,156.63,159.54,158.7,83.72,153.19,152.62,152.6,144.21,139.41,137.82,135.15,127.61,116.35,111.22,109.51
CHTR,"Charter Communications, Inc.",Communication Services,27292246016,0,-0.01,0.24,118.54,2906874880,5.54,5.58,36.07,0.31,0.09,497.91,55098998784,30435000320,22094000128,5120999936,35.78,-0.05,,,314.94,479,200,199.81,199.81,200.44,199.81,437.06,213.5,200.2,203.9,210.27,222.9,241.52,245.07,249.52,269.32,312.81,323.73,331.09
CI,The Cigna Group,Healthcare,74354475008,0.26,0.1,0.04,156.81,8630625280,12.32,8.89,22.6,0.16,0.02,81.02,2.68077E+11,25604999168,11649999872,6146999808,31.32,1.65,2.17,6.04,328.35,378,270,278.35,278.35,278.2,278.35,346.57,239.51,273.22,270.97,266.21,278.68,285.51,288.11,290.01,289.54,298.91,302.67,299.81
CINF,Cincinnati Financial Corporation,Financial Services,26346297344,0.25,0.12,0.38,98.76,1700875008,12.55,22.98,13.43,0.15,0.18,5.73,12078000128,2804999936,2812999936,2122000000,7.33,0.37,2.07,3.48,172.67,186,150,168.48,168.48,168.26,168.48,166.9,121.6,164.86,165.19,162.7,159.96,159.44,158.47,157.25,155.05,151.75,148.18,146.83
CL,Colgate-Palmolive Company,Consumer Defensive,64689991680,0.57,0.02,0.2,1.06,2739249920,22.42,20.74,3.57,2.94,0.14,680.05,20096999424,12088000512,4812000256,2908000000,3.86,0.01,2.6,2.08,87.21,95,77,80.04,80.04,79.48,80.04,98.37,74.55,79.23,79.11,78.34,78.26,78.38,79.12,80.15,81.61,84.28,85.72,86.28
CLX,The Clorox Company,Consumer Defensive,13143385088,0.77,-0.19,0.08,-0.18,861625024,16.92,14.78,6.37,4.44,0.12,2230.43,6770999808,2998000128,1224999936,791000000,7.29,-0.19,4.6,4.96,124.59,163,103,107.75,107.75,106.38,107.75,165.17,106.14,103.2,103.84,105.67,109.24,113.59,115.24,115.99,118.01,121.1,126.4,132.14
CMCSA,Comcast Corporation,Communication Services,98101927936,0.22,-0.03,0.18,26.57,4067249920,4.41,6.07,6.02,0.24,0.18,101.46,1.23311E+11,88638996480,38034001920,22606999552,4.38,-0.04,4.97,1.32,34.77,46,28,26.57,26.57,26.77,26.57,43.01,25.75,27.06,27.17,27.26,27.96,29.07,29.71,30.43,31.17,32.17,32.77,33.53
CME,CME Group Inc.,Financial Services,1.01282E+11,1.04,-0.03,0.63,78.34,2836375040,27.24,27.08,10.31,0.13,0.59,13.37,6385200128,6385200128,4494099968,3716699904,10.37,0,1.78,5,284.07,314,201,280.87,280.87,278.01,280.87,288.09,213.06,278.13,278.11,274.67,272.17,269.79,268.42,268.65,270.7,271.88,267.68,260.19
CMG,"Chipotle Mexican Grill, Inc.",Consumer Cyclical,45630316544,0,0.07,0.16,2.43,1142371328,30.12,25.98,1.13,0.45,0.13,154.57,11787400192,4737442816,2340452096,1536593024,1.31,0.02,,,43.18,55,34,34.03,34.03,33.48,34.03,66.74,30.02,31.58,31.29,31.4,34.71,36.97,37.4,38.49,40.9,44.64,46.16,48.94
CMI,Cummins Inc.,Industrials,68619202560,0.39,-0.02,0.12,87.4,1640249984,25.77,22.07,19.29,0.23,0.08,62.95,33581000704,8741000192,5238000128,2668000000,22.52,-0.34,1.61,8,517.94,628,450,497.11,497.11,493.71,497.11,482.53,257.24,472.76,473.76,463.27,447.92,437.61,432.06,425.01,408.31,377.39,363.08,361.65
CMS,CMS Energy Corporation,Utilities,22906148864,0.62,0.16,0.26,28.39,-1542625024,21.69,21.03,3.47,0.11,0.13,191.63,8295000064,3511000064,2992000000,1037000000,3.58,0.09,2.88,2.17,78.62,85,61,75.27,75.27,74.96,75.27,75.54,62.07,74.15,74.18,73.62,73.69,73,72.6,72.43,72.17,71.25,71.17,69.93
CNC,Centene Corporation,Healthcare,19395301376,0,0.21,0.01,42.63,4424000000,,5.61,-10.67,-0.22,-0.03,83.51,1.6768E+11,19658000384,3902000128,-5289999872,7.04,,,,39.94,70,28,,39.46,39.32,39.46,66.81,25.08,37.11,36.74,36.47,36,35.84,35.08,33.83,32.32,40.05,44.97,48.18
CNP,"CenterPoint Energy, Inc.",Utilities,26082088960,0.55,0.07,0.25,16.9,-3115124992,25.28,22.96,1.58,0.1,0.11,202.11,9114000384,4113999872,3432000000,1036000000,1.74,0.51,2.2,0.88,42.6,46,38,39.95,39.95,39.48,39.95,40.5,28.49,39.62,39.54,39.22,39.3,39.05,38.81,38.59,38.25,37.7,36.95,35.83
COF,Capital One Financial Corporation,Financial Services,1.39076E+11,0.82,0.68,0.39,170.52,,74.73,13.89,2.91,0.02,0.05,,28885999616,28885999616,,1151000064,15.66,0.1,1.47,3.2,260.24,290,210,217.47,217.47,214.6,217.47,231.82,142.38,208.06,211.31,213.62,214.64,215.35,216.62,217.14,216.17,209.17,201,198.18
COIN,"Coinbase Global, Inc.",Financial Services,71447519232,0,0.59,0.25,59.62,-1097911808,22.88,74.22,11.58,0.26,0.44,48.56,7370428928,6251782144,2399290112,3217709056,3.57,4.31,,,383.94,510,205,264.97,264.97,256.2,264.97,444.65,142.58,260.38,274.21,288.17,305.83,323.03,321.93,319.67,331.44,309.42,282.04,282.96
COO,"The Cooper Companies, Inc.",Healthcare,15550005248,0,0.06,0.17,42.02,276212512,38.21,19.1,2.04,0.05,0.1,29.67,4045700096,2708999936,1113100032,407800000,4.08,-0.06,,,83,96,64,77.94,77.94,77.92,77.94,106.63,61.78,73.83,73.1,72.01,72.34,70.89,70.26,70.55,71.01,72.59,75.23,79.28
COP,ConocoPhillips,Energy,1.0877E+11,0.44,0.14,0.2,52.54,6092499968,12.3,10.85,7.08,0.15,0.14,36.17,61280002048,29056000000,25422000128,8824000512,8.03,-0.22,3.86,3.36,112.91,131,98,87.09,87.09,86.45,87.09,112.56,78.56,88.16,88.08,87.76,87.44,89.39,89.91,90.99,91.35,90.42,91.01,92.39
COR,"Cencora, Inc.",Healthcare,71492403200,0.28,0.06,0.01,7.78,3283074560,46.3,22.53,7.96,1.24,0,534.1,3.21333E+11,11291738112,4805065216,1554168960,16.36,,0.65,2.4,384.79,417,300,368.53,368.53,375.01,368.53,364.36,222.57,365.74,364.92,359.21,349.2,332.14,325.94,319.35,312.1,304.74,294.47,283.24
COST,Costco Wholesale Corporation,Consumer Defensive,4.02793E+11,0.27,0.08,0.04,65.8,5899125248,49.99,46.15,18.17,0.31,0.03,34.07,2.75235E+11,35349000192,12808999936,8098999808,19.68,0.11,0.57,5.2,1055.97,1218,640,908.26,908.26,896.02,908.26,1073.82,868.14,902.73,906.68,912.56,918.63,923.4,929.84,935.85,940.54,960.97,963.47,963.27
CPAY,"Corpay, Inc.",Technology,20714022912,0,0.14,0.45,58.19,1306636800,19.91,13.23,14.73,0.29,0.24,201.15,4314608128,3376706048,2255620096,1051297024,22.18,0,,,351.25,440,315,293.34,293.34,291.46,293.34,400.81,252.84,282.41,282.79,276.93,278.83,284.04,288.51,295.05,302.5,312.37,319.33,328.15
CPB,The Campbell's Company,Consumer Defensive,9011293184,0.77,0.01,0.13,13.09,718875008,15.04,8.87,2.01,0.16,0.06,184.73,10252999680,3151000064,1890000000,602000000,3.41,,5.16,1.56,34.37,60,29,30.24,30.24,30.3,30.24,44.94,29.03,30.88,30.92,30.66,30.75,31.04,31.37,31.49,31.5,32,33.44,34.6
CPRT,"Copart, Inc.",Industrials,37510684672,0,0.01,0.37,9.92,1070628608,23.77,22.27,1.63,0.18,0.34,1.04,4655158784,2216953088,1980256000,1594077056,1.74,0.11,,,49.67,65,33,38.75,38.75,39.05,38.75,64.38,39.58,40.52,40.69,41.15,42.23,43.27,44.09,44.88,45.27,48.33,50.35,52.06
CPT,Camden Property Trust,Real Estate,11329594368,1.69,0.02,0.16,41.84,727876608,42.93,65.45,2.47,0.06,0.17,81.14,1578428032,970961984,892785984,268553984,1.62,,3.96,4.2,117.11,137,103,106.03,106.03,105.76,106.03,123.08,97.17,103.66,103.37,102.42,102.56,103.33,104.18,104.85,106.13,108.78,110.37,110.85
CRL,"Charles River Laboratories International, Inc.",Healthcare,8806617088,0,-0.01,0.16,69.19,548860480,,17.41,-1.54,-0.02,-0.02,76.25,4023704064,1395448960,886190976,-83482000,10.28,-0.17,,,188.93,211,155,,178.94,179,178.94,222.1,91.86,168.11,168.79,170.88,176.06,170.75,168.43,166.74,165.57,157.2,155.23,160.27
CRM,"Salesforce, Inc.",Technology,2.18111E+11,0.24,0.1,0.23,64.22,13898874880,33.11,20.5,6.89,0.11,0.17,19.25,39502000128,30673000448,11420000256,6663000064,11.13,0.33,0.73,1.66,328.37,430,221,228.15,228.15,230.51,228.15,366.78,226.09,232.41,235.44,241.05,245.18,244.13,244.29,244.75,247.72,255.74,261.38,276.47
CRWD,"CrowdStrike Holdings, Inc.",Technology,1.25864E+11,0,0.21,-0.06,14.98,1443980160,,117.46,-1.2,-0.09,-0.07,21.36,4341102080,3219506944,-91371000,-296985984,4.27,,,,533.26,706,330,,501.54,513,501.54,555.81,298,514.41,524.57,528.91,524.14,511.66,498.23,483.05,477.8,472.95,448.66,433.15
CSCO,"Cisco Systems, Inc.",Technology,3.0056E+11,0.63,0.07,0.24,11.9,12405999616,29.37,19.51,2.59,0.22,0.18,63.23,57696002048,37413998592,15676000256,10328999936,3.9,0.06,2.16,1.64,84.81,100,67,76.07,76.07,76.46,76.07,74.84,51.49,76.91,75.57,74.69,73.38,71.29,70.56,69.95,69.51,67.38,65.4,64.02
CSGP,"CoStar Group, Inc.",Real Estate,28743661568,0,0.2,-0.06,20.34,113800000,1130.33,60.55,0.06,0,0.01,13.13,3056499968,2422299904,157800000,20300000,1.12,,,,91.94,105,60,67.82,67.82,68.75,67.82,97.43,63.82,67.37,67.57,68.07,70.7,75.22,77.35,79.68,82.39,80.98,80.2,79.13
CSX,CSX Corporation,Industrials,65808977920,0.33,-0.01,0.35,6.85,922249984,22.92,17.39,1.54,0.23,0.21,155.28,14122999808,6537999872,6537999872,2902000128,2.03,-0.2,1.47,0.52,39.29,45,27,35.3,35.3,34.89,35.3,37.19,26.01,34.43,34.65,34.95,35.28,35.19,34.74,34.64,34.66,33.43,32.5,32.54
CTAS,Cintas Corporation,Industrials,74384670720,0.36,0.09,0.23,11.8,1492897024,41.02,39.44,4.5,0.42,0.18,56.25,10556716032,5288593920,2778882048,1845040000,4.68,0.09,0.98,1.8,214.88,255,172,184.6,184.6,183.12,184.6,228.77,179.74,184.48,184.6,184.29,186.06,190.8,192.64,196.8,202.6,207.91,206.07,204.69
CTRA,Coterra Energy Inc.,Energy,20139264000,0.4,0.35,0.28,19.26,950875008,12.22,11.33,2.16,0.12,0.25,27.96,6665999872,4984000000,4407000064,1646000000,2.33,0.23,3.33,0.88,32.32,38,26,26.39,26.39,25.97,26.39,29.29,22.06,25.97,26.05,25.64,24.8,24.23,24.19,24.09,24.01,24.23,24.75,24.96
CTSH,Cognizant Technology Solutions Corporation,Technology,37630906368,0.28,0.07,0.16,30.84,2306249984,17.84,15.44,4.32,0.15,0.1,7.85,20856999936,7103000064,3777999872,2128000000,4.99,-0.52,1.61,1.24,84.87,103,70,77.05,77.05,76.67,77.05,89.77,64.98,73.72,73.52,73.28,71.38,69.7,69.73,69.95,70.76,73.25,74.29,75.19
CTVA,"Corteva, Inc.",Basic Materials,45262016512,0.28,0.13,-0.1,37.27,2547749888,26.98,20.76,2.47,0.07,0.09,17.18,17468999680,8055000064,3759000064,1680999936,3.21,,1.08,0.72,77.71,86,65,66.65,66.65,65.91,66.65,77.22,53.14,65.35,65.39,64.5,63.91,64.63,65.86,67.28,68.6,68.98,66.92,65.55
CVS,CVS Health Corporation,Healthcare,1.01377E+11,7,0.08,0.02,57.42,6976625152,210.16,12.32,0.38,0.01,0,111.82,3.9169E+11,52300001280,14753000448,469000000,6.48,,3.33,2.66,91.48,102,77,79.86,79.86,78.79,79.86,85.15,41.77,78.03,78.35,78.27,79.39,78.08,77.2,75.83,72.41,69.59,68.3,64.58
CVX,Chevron Corporation,Energy,3.01236E+11,0.95,-0.01,0.1,94.28,15743875072,21,13.54,7.12,0.07,0.07,21.24,1.88687E+11,76610002944,37682999296,12768000000,11.04,-0.27,4.57,6.84,172.8,204,124,149.51,149.51,148.26,149.51,165.09,129.01,151.63,152.12,152.18,152.4,152.78,153.19,153.54,152.54,147.59,147.63,147.35
D,"Dominion Energy, Inc.",Utilities,53403738112,0.87,0.15,0.35,31.27,-9946749952,20.44,18.5,3.06,0.09,0.17,154.31,15813000192,7752999936,7664999936,2609999872,3.38,0.06,4.27,2.67,64,70,54,62.54,62.54,61.85,62.54,62.52,46.96,61.26,61.26,60.69,60.65,60.7,60.46,60.35,59.84,58.09,56.88,56.07
DAL,"Delta Air Lines, Inc.",Industrials,41965912064,0.09,0.06,0.1,29.02,2057874944,9.06,9.16,7.09,0.29,0.07,117.3,62919999488,13287000064,8022000128,4629000192,7.02,0.1,1.17,0.75,71.6,90,32,64.27,64.27,62.39,64.27,69.15,34.41,58.97,58.95,58.52,59.04,58.64,58.85,59.15,57.99,54.62,53.16,55.21
DASH,"DoorDash, Inc.",Consumer Cyclical,84467089408,0,0.27,0.08,22.04,-1816125056,98.98,110.1,1.98,0.1,0.07,34.26,12634999808,6497999872,1021000000,863000000,1.78,0.46,,,276.17,360,205,195.98,195.98,196.95,195.98,285.5,155.4,198.41,199.26,210.73,227.58,244.52,246.41,246.63,246.83,235.29,223.53,214.42
DAY,Dayforce Inc,Technology,11042412544,0,0.1,-0.26,16.84,200750000,,31.22,-0.95,-0.06,-0.08,45.53,1893299968,964099968,111500000,-149800000,2.21,,,,69.92,70,69,,69,69,69,82.69,48.01,68.94,68.87,68.79,68.65,68.68,68.74,68.12,65.14,62.73,61.59,63.9
DD,"DuPont de Nemours, Inc.",Basic Materials,16524386304,0.93,0.07,0.18,54.66,-1093124992,22.8,8.98,1.73,0.03,-0.06,39.67,12842999808,4767000064,3280000000,726000000,4.39,,3.63,1.43,47.25,51,44,39.44,39.44,38.82,39.44,40.11,22.25,38.79,39.22,38.43,36.88,35.13,34.66,34.02,33.18,31.55,31.23,31.42
DDOG,"Datadog, Inc.",Technology,55546245120,0,0.28,-0.01,9.81,838500736,495,78.03,0.32,0.04,0.03,37.2,3211691008,2568037888,6225000,106768000,2.03,-0.34,,,211.97,240,150,158.4,158.4,159.93,158.4,194.87,81.63,169.7,176.91,173.1,167.22,160.16,156.25,151.12,148.48,138.99,130.77,134.13
DE,Deere & Company,Industrials,1.2702E+11,0.35,0.13,0.12,96,3901625088,25.38,21.19,18.51,0.2,0.11,245.84,45683998720,15226000384,8732999680,5026999808,22.17,-0.14,1.38,6.48,524.74,724,440,469.87,469.87,477.13,469.87,530.24,381.67,479.3,478.14,475.02,472.08,467.05,467.77,471.51,480.42,487.58,482.16,474.29
DECK,Deckers Outdoor Corporation,Consumer Cyclical,12934057984,0,0.09,0.23,16.88,784447232,12.96,13.71,6.73,0.43,0.19,14.22,5244322816,3024119040,1312071040,1015500032,6.36,0.14,,,111.97,157,81,87.19,87.19,85.03,87.19,223.98,78.91,83.58,83.18,82.46,86.78,93.66,97.77,100.49,101.53,104.79,109.4,127.74
DELL,Dell Technologies Inc.,Technology,89600442368,0.26,0.11,0.08,-3.88,-1497500032,17.42,14.18,7.65,,0.05,,1.0409E+11,21809999872,10574999552,5209999872,9.4,0.44,1.58,2.1,162.43,200,113,133.26,133.26,133.58,133.26,168.08,65.33,125.86,130.53,138.34,143.9,143.44,140.38,138.51,136.25,127.48,119.21,117.93
DG,Dollar General Corporation,Consumer Defensive,23940931584,0.44,0.05,0.06,36.4,1500179584,20.18,17.49,5.39,0.16,0.03,213.03,41651642368,12558825472,3026481920,1191100032,6.22,0.09,2.17,2.36,119.39,139,80,108.77,108.77,104.73,108.77,117.24,65.27,103.14,102.81,101.65,102.26,101.88,102.49,104.3,105.73,104.63,98.87,93.68
DGX,Quest Diagnostics Incorporated,Healthcare,21211789312,0.37,0.13,0.15,65.39,1000875008,22.26,19.44,8.52,0.14,0.09,86.52,10849999872,3628999936,2140999936,963000000,9.76,0.09,1.69,3.2,197.31,215,166,189.69,189.69,191.44,189.69,197.55,146.3,188.35,187.36,184.32,183.92,183.85,183.38,182.61,179.52,177.92,175.2,170.93
DHI,"D.R. Horton, Inc.",Consumer Cyclical,46733840384,0.14,-0.03,0.12,82.15,2173700096,13.55,9.84,11.57,0.14,0.1,24.51,34250399744,7711799808,4772499968,3585200128,15.93,-0.22,1.15,1.8,162.07,195,110,156.76,156.76,153.93,156.76,184.55,109.8,144.1,144.4,144.92,148.27,154.46,158.11,159.85,155.85,145.13,140.22,140.93
DHR,Danaher Corporation,Healthcare,1.63589E+11,0.25,0.04,0.21,72.31,4013874944,46.91,27.26,4.87,0.07,0.14,35.54,24267999232,14462000128,7629000192,3503000064,8.38,0.13,0.56,1.28,254.2,310,220,228.46,228.46,229.57,228.46,256.97,170.43,224.66,221.63,219.2,218.3,210.8,207.98,207.8,205.45,202.08,201.89,207.6
DIS,The Walt Disney Company,Communication Services,1.8596E+11,0.15,-0.01,0.12,61.34,6932624896,15.1,20.08,6.85,0.12,0.13,39.63,94424997888,35659001856,19419000832,12403999744,5.15,1.87,1.45,1.5,132.5,160,77,103.43,103.43,103.32,103.43,124.69,79.76,104.57,107.16,108.5,109.63,110.79,111.8,112.89,114.39,113.33,109.6,109.99
DLR,"Digital Realty Trust, Inc.",Real Estate,55571550208,1.26,0.11,0.13,64.99,2183965440,41.17,131.33,3.86,0.06,0.24,79.25,5841035776,3201244928,2662960896,1358786944,1.21,0.6,3.07,4.88,199.19,220,161,158.91,158.91,157.32,158.91,192.35,128.14,158.3,161.04,163.54,166.95,169.37,169.23,168.4,169.47,169.15,164.06,166.06
DLTR,"Dollar Tree, Inc.",Consumer Defensive,22904367104,0,0.12,0.05,17.62,2023337472,21.27,18.11,5.16,0.2,-0.16,203.68,18551099392,6646600192,2121900032,1101500032,6.06,0.48,,,107.13,135,70,109.75,109.75,106.1,109.75,118.06,60.49,102.91,103.81,103.05,101.88,98.09,98.13,100.89,103.82,99.85,92.82,88.81
DOC,"Healthpeak Properties, Inc.",Real Estate,12661985280,5.04,0.01,0.19,10.93,1072704256,,72.88,-0.06,0,-0.01,114.25,2801097984,1673415936,1512803968,-38936000,0.25,,6.7,1.22,20.92,29,18,,18.22,18.05,18.22,21.81,16.17,17.68,17.67,17.65,17.89,18.14,18.1,17.91,17.77,17.47,17.8,18.11
DOV,Dover Corporation,Industrials,25536557056,0.27,0.05,0.19,55.87,1207432064,24.28,19.79,7.67,0.16,0.28,40.08,7923358208,3172892928,1765272064,1061046016,9.41,-0.13,1.12,2.08,215.06,242,168,186.19,186.19,185.72,186.19,220.46,142.22,182.14,182.24,181.38,178.9,173.81,174.03,175.03,177,177.47,177.87,181.27
DOW,Dow Inc.,Basic Materials,16994447360,7,-0.08,0.02,24.68,-579750016,,7.69,-1.61,-0.05,-0.03,102.94,40912998400,2952999936,3505999872,-1144999936,3.11,-0.73,5.86,1.4,27.82,45,20,,23.91,23.22,23.91,45.16,20.11,22.37,22.32,22.55,22.84,22.81,23.06,23.21,23.72,25.22,27.19,29.4
DPZ,"Domino's Pizza, Inc.",Consumer Cyclical,14108831744,0.39,0.03,0.18,-112.88,477574752,24.28,23.56,17.12,,0.12,,4848167936,1388382976,989062016,589505024,17.64,0.3,1.67,6.96,496.65,597,340,415.59,415.59,417.31,415.59,495.24,392.47,406.7,406.98,405.63,409.32,414.65,421.03,427.07,435.77,446.18,449.51,446.99
DRI,"Darden Restaurants, Inc.",Consumer Cyclical,20987082752,0.61,0.1,0.1,19.12,758462528,19.31,17.05,9.32,0.5,0.09,361.73,12364399616,2698700032,1953600000,1101299968,10.56,0.26,3.33,6,221.33,259,160,180,180,179.69,180,224.86,154.71,173.86,174.11,175.56,178.95,182.37,186.88,190.55,194.03,198.91,197.34,193.5
DTE,DTE Energy Company,Utilities,28406882304,0.65,0.21,0.19,58.54,-1633874944,20.51,18.97,6.67,0.12,0.09,207.97,14821999616,4634999808,3593999872,1382000000,7.21,-0.12,3.19,4.36,150.31,158,139,136.78,136.78,136.33,136.78,143.79,113.32,136.5,137.21,136.49,138.17,138.76,138.13,137.98,137.55,135.95,134.59,131.28
DUK,Duke Energy Corporation,Utilities,95986728960,0.66,0.05,0.27,64.9,-1939250048,19.47,19.47,6.34,0.1,0.16,170.34,31235999744,16368000000,15952000000,4921999872,6.34,0.13,3.45,4.26,137.47,150,121,123.43,123.43,122.41,123.43,130.03,102.41,122.92,122.8,122.87,124.03,123.56,122.98,122.8,121.76,119.5,118.34,115.97
DVA,DaVita Inc.,Healthcare,8587149824,0,0.05,0.15,-8.06,956624000,12.39,10.66,9.69,0.62,0.06,953.09,13317964800,4259634944,2668084992,771915008,11.27,-0.18,,,144.5,186,126,120.1,120.1,121.33,120.1,179.6,115.39,119.02,119.99,119.97,122.63,125.43,126.73,128.72,131.58,134.49,137.91,142.67
DVN,Devon Energy Corporation,Energy,23106721792,0.22,0.07,0.24,24.4,2007000064,8.58,8.16,4.24,0.19,0.16,56.27,16554000384,8168999936,7670000128,2719000064,4.46,-0.16,2.64,0.96,45.43,70,33,36.4,36.4,35.85,36.4,38.66,25.53,35.61,35.29,34.44,33.74,34.05,34.16,34.23,33.87,33.26,33.29,33.4
DXCM,"DexCom, Inc.",Healthcare,24521467904,0,0.22,0.2,6.99,783387520,34.74,30.8,1.8,0.31,0.16,94.48,4515899904,2664999936,1022099968,720700032,2.03,1.1,,,84.31,112,63,62.53,62.53,61.36,62.53,93.25,54.11,60.12,59.2,59.71,62.85,64.66,66.79,69.15,72.63,76.11,75.75,76.98
EA,Electronic Arts Inc.,Communication Services,50501427200,0.22,-0.09,0.11,24.06,1503500032,58.87,23.67,3.43,0.13,0.12,36.65,7288000000,5742000128,1567000064,885000000,8.53,-0.51,0.38,0.76,202.36,250,160,201.92,201.92,201.88,201.92,203.75,114.77,201.3,201.35,201.03,200.86,197.15,192.63,188.56,180.4,170.39,162.33,158.59
EBAY,eBay Inc.,Consumer Cyclical,37697929216,0.25,0.1,0.21,10.39,1598749952,18.29,15.8,4.51,0.42,0.2,151.16,10714000384,7676000256,2739000064,2151000064,5.22,0.05,1.41,1.16,93.97,115,62,82.49,82.49,82.8,82.49,101.12,58.29,82.06,83.19,82.8,87.17,88.64,89.12,90.53,88.81,83.55,79.13,76.12
